raw_row_index,record_id,compound_id,target,e3_ligase,cell_line,treatment_time_h,dc50_raw,dc50_obs_type,dc50_value,dc50_lower,dc50_upper,dmax_raw,dmax_obs_type,dmax_value,dmax_lower,dmax_upper,pctdeg_raw,pctdeg_value,source_quality,article_doi,provisional_activity_evidence,stratum,annotator_activity_evidence,annotator_confidence,annotator_note
6267,6267,3806,EP300,CRBN,RS4-11,4.0,0.8,exact,0.8,,,77,exact,77.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c00492,P,exact|P,P,中,DC50=0.8远小于100，虽然DMax=77<80，但不足DC50更有说服力
14493,14526,9722,KRAS,CRBN,ASPC-1,24.0,<=100,left-censored,,,100.0,>70,right-censored,,70.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
14505,14538,9734,KRAS,CRBN,ASPC-1,24.0,<=100,left-censored,,,100.0,>70,right-censored,,70.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
9472,9472,6036,APT1,CRBN,RAJI,4.0,<100,left-censored,,,100.0,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1002/cbic.202300736,P,left-censored|P,P,高,
15337,15370,10565,ERalpha,CRBN,MCF-7,,<5,left-censored,,,5.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
14993,15026,10222,ERalpha,CRBN,MCF-7,,<5,left-censored,,,5.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
15398,15431,10626,ERalpha,CRBN,MCF-7,,<5,left-censored,,,5.0,>75,right-censored,,75.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,高,
15287,15320,10515,ERalpha,CRBN,MCF-7,,<5,left-censored,,,5.0,>75,right-censored,,75.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,高,
4200,4200,2396,RPS6KA1,CRBN,A549,16.0,<100/<100/<100,left-censored,,,100.0,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.1c00373,P,left-censored|P,P,中,
7860,7860,4893,NAMPT,CRBN,JURKAT,24.0,<1,left-censored,,,1.0,92.5,exact,92.5,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.chembiol.2022.10.007,P,left-censored|P,P,高,
14512,14545,9741,KRAS,CRBN,ASPC-1,24.0,<=100,left-censored,,,100.0,>70,right-censored,,70.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
15434,15467,10662,ERalpha,CRBN,MCF-7,,<5,left-censored,,,5.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
14507,14540,9736,KRAS,CRBN,ASPC-1,24.0,<=100,left-censored,,,100.0,>50 and <=70,interval-censored,,50.0,70.0,,,PROTAC-DB 3.0 (database summary of literature),,P,left-censored|P,P,中,
14408,14441,9640,KRAS,CRBN,ASPC-1,24.0,<=1000,left-censored,,,1000.0,>50 and <=70,interval-censored,,50.0,70.0,,,PROTAC-DB 3.0 (database summary of literature),,A,left-censored|A,A,中,
14359,14392,9592,KRAS,CRBN,ASPC-1,24.0,<=1000,left-censored,,,1000.0,>25 and <=50,interval-censored,,25.0,50.0,,,PROTAC-DB 3.0 (database summary of literature),,A,left-censored|A,A,高,
14397,14430,9629,KRAS,CRBN,ASPC-1,24.0,<=1000,left-censored,,,1000.0,<=25,left-censored,,,25.0,,,PROTAC-DB 3.0 (database summary of literature),,A,left-censored|A,A,高,
14377,14410,9610,KRAS,CRBN,ASPC-1,24.0,<=1000,left-censored,,,1000.0,>50 and <=70,interval-censored,,50.0,70.0,,,PROTAC-DB 3.0 (database summary of literature),,A,left-censored|A,A,中,
14230,14263,9465,BTK,CRBN,,,>2000,right-censored,,2000.0,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,N,right-censored|N,N,高,
14233,14266,9468,BTK,CRBN,,,>2000,right-censored,,2000.0,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,N,right-censored|N,N,高,
14348,14381,9581,KRAS,CRBN,ASPC-1,24.0,＞1000,right-censored,,1000.0,,nd,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,N,right-censored|N,N,高,
13856,13889,9094,PARP1,CRBN,HCT-116,,>20000,right-censored,,20000.0,,30.21,exact,30.21,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2024.117062,N,right-censored|N,N,高,
1606,1606,1108,HMGCR,CRBN,RD,16.0,>3000,right-censored,,3000.0,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.0c00339,N,right-censored|N,N,高,
7110,7110,4330,STAT5,CRBN,,18.0,>5000,right-censored,,5000.0,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.2c01665,N,right-censored|N,N,高,
10235,10263,6573,EP300,CRBN,,24.0,>1000,right-censored,,1000.0,,40,exact,40.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c02124,N,right-censored|N,A,中,
8073,8073,5023,SMARCA4,VHL,,4.0,>25000/>25000,right-censored,,25000.0,,N.D./N.D.,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1038/s41467-022-33430-6,N,right-censored|N,N,高,
6415,6415,3913,BTK,CRBN,,17.0,>3000/>3000,right-censored,,3000.0,,30.1/30,exact,30.1,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c00176,N,right-censored|N,N,中,
14360,14393,9593,KRAS,CRBN,ASPC-1,24.0,＞1000,right-censored,,1000.0,,nd,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,N,right-censored|N,N,中,
13850,13883,9088,PARP1,CRBN,HCT-116,,>20000,right-censored,,20000.0,,49.13,exact,49.13,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2024.117062,N,right-censored|N,N,高,
14385,14418,9618,KRAS,CRBN,ASPC-1,24.0,＞1000,right-censored,,1000.0,,nd,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),,N,right-censored|N,N,中,
11690,11720,7509,IRAK4,CRBN,OCI-LY10,24.0,>10000,right-censored,,10000.0,,30,exact,30.0,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01823,N,right-censored|N,N,高,
13148,13181,8585,RET G810R,CRBN,,,>10000,right-censored,,10000.0,,>10000,right-censored,,10000.0,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.4c02083,A,right-censored|A,N,高,
9934,9962,6380,BTK,CRBN,,4.0,>100,right-censored,,100.0,,,endpoint-missing,,,,20,20.0,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01414,A,right-censored|A,N,高,
1549,1549,1055,ER,XIAP,MCF-7,4.0,>100,right-censored,,100.0,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1074/jbc.RA117.001091,A,right-censored|A,A,中,
670,670,396,CDK4,CRBN,,24.0,>500,right-censored,,500.0,,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.9b00871,A,right-censored|A,A,中,
11566,11594,7400,CDK2,CRBN,HL-60,,>100,right-censored,,100.0,,34.2,exact,34.2,,,,,PROTAC-DB 3.0 (database summary of literature),10.1016/j.ejmech.2024.116539,A,right-censored|A,A,中,
15259,15292,10488,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,中,
15175,15208,10404,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>75,right-censored,,75.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,高,
15289,15322,10517,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>75,right-censored,,75.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,高,
15303,15336,10531,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,中,
15340,15373,10568,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>75,right-censored,,75.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,高,
9952,9980,6398,BTK,CRBN,,4.0,10~100,interval-censored,,10.0,100.0,,endpoint-missing,,,,99/99,99.0,PROTAC-DB 3.0 (database summary of literature),10.1021/acs.jmedchem.3c01414,P,interval-censored|P,P,中,
15455,15488,10683,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,中,
15408,15441,10636,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>75,right-censored,,75.0,,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,高,
15495,15528,10723,ERalpha,CRBN,MCF-7,,>5 and <50,interval-censored,,5.0,50.0,>50 and <75,interval-censored,,50.0,75.0,,,PROTAC-DB 3.0 (database summary of literature),,P,interval-censored|P,P,中,
365,365,229,BRD4,VHL,RD/HELA,24.0,1~3,interval-censored,,1.0,3.0,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1021/jacs.8b05807,P,interval-censored|P,P,高,
2231,2231,1535,BRD4,VHL,RD/HELA,18.0,25-125,interval-censored,,25.0,125.0,,endpoint-missing,,,,,,PROTAC-DB 3.0 (database summary of literature),10.1002/anie.201914396,A,interval-censored|A,A,中,
